Achromobacter_spp.	nusA,rpoB,eno,gltB,lepA,nuoL,nrdA
Shewanella_spp.	16S_rRNA,adk,atpB,guaA,gyrB,mdh,recA,rpoS
Sinorhizobium_spp.	asd,edd,gap,glnD,gnd,nuoE1,ordL2,recA,sucA,zwf
Staphylococcus_aureus	arcC,aroE,glpF,gmk,pta,tpi,yqiL
Staphylococcus_chromogenes	arcC,hutU,fumC,dnaJ,glpF,menF,pta
Staphylococcus_epidermidis	arcC,aroE,gtr,mutS,pyrR,tpiA,yqiL
Staphylococcus_haemolyticus	arcC,SH_1200,hemH,leuB,SH1431,cfxE,Ribose_ABC
Staphylococcus_hominis	arcC,glpK,gtr,pta,tpiA,tuf
Staphylococcus_lugdunensis	aroE,dat,ddl,gmk,ldh,recA,yqiL
Staphylococcus_pseudintermedius	ack,cpn60,fdh,pta,purA,sar,tuf
Stenotrophomonas_maltophilia	atpD,gapA,guaA,mutM,nuoD,ppsA,recA
Streptococcus_agalactiae	adhP,pheS,atr,glnA,sdhA,glcK,tkt
Streptococcus_bovis#equinus_complex__SBSEC_	ddl,gki,glnA,mutS,mutS2,pheS,proS,pyrE,thrS,tpi
Streptococcus_canis	gki,gtr,murI,mutS,recP,xpt,yqiZ
Streptococcus_dysgalactiae_equisimilis	gki,gtr,murI,mutS,recP,xpt,atoB
Streptococcus_gallolyticus	aroE,glgB,nifS,p20,tkt,trpD,uvrA
Streptococcus_oralis	aroE,ddl,gdh,gki,hexB,recP,xpt
Streptococcus_pneumoniae	aroE,gdh,gki,recP,spi,xpt,ddl
Streptococcus_pyogenes	gki,gtr,murI,mutS,recP,xpt,yqiL
Streptococcus_suis	aroA,cpn60,dpr,gki,mutS,recA,thrA
Streptococcus_thermophilus	ddlA,glcK,proA,ptsI,serB,tkt
Streptococcus_thermophilus#2	carB,clpX,dnaA,murC,murE,pepN,pepX,pyrG,recA,rpoB
Streptococcus_uberis	arcC,ddl,gki,recP,tdk,tpi,yqiL
Streptococcus_zooepidemicus	arcC,nrdE,proS,spi,tdk,tpi,yqiL
Streptomyces_spp	16S,atpD,gyrB,recA,rpoB,trpB
Taylorella_spp.	gltA,gyrB,fh,shmt,tyrB,adk,txn
Tenacibaculum_spp.	atpA,dnaK,glyA,gyrB,infB,rlmN,tgt
Treponema_pallidum	TP0136,TP0548,TP0705
Trichomonas_vaginalis	TRYP,GLUT,FT2A,ALTS,DMRP,SHMT,M6PI
Ureaplasma_spp.	ftsH,rpL22,thrS,valS
Vibrio_cholerae	adk,gyrB,mdh,metE,pntA,purM,pyrC
Vibrio_cholerae#2	asd,dnaE,lap,pgm,recA
Vibrio_parahaemolyticus	dnaE,gyrB,recA,dtdS,pntA,pyrC,tnaA
Vibrio_spp.	gyrB,pyrH,recA,atpA
Vibrio_tapetis	atpA,fstZ,gapA,hsp60,pyrH,rctB,recA,rpoA,rpoD,topA
Vibrio_vulnificus	glp,gyrB,mdh,metG,purM,dtdS,lysA,pntA,pyrC,tnaA
Wolbachia	gatB,coxA,hcpA,ftsZ,fbpA
Xylella_fastidiosa	leuA,petC,malF,cysG,holC,nuoL,gltT
Yersinia_pseudotuberculosis	adk,argA,aroA,glnA,thrA,tmk,trpE
Yersinia_ruckeri	glnA,gyrB,dnaJ,thrA,hsp60,recA
